Wavelength(nm),Delta_epsilon(M^-1 cm^-1)
205.0,-37.743671137705476
205.48494983277592,-38.46942496647247
205.96989966555182,-39.13269518531468
206.45484949832775,-39.72850529804041
206.93979933110364,-40.25199729326718
207.42474916387962,-40.698461292070064
207.90969899665552,-41.063364923127544
208.39464882943145,-41.34238222899187
208.87959866220737,-41.53142191611514
209.36454849498324,-41.62665477227228
209.84949832775922,-41.62454008772235
210.33444816053506,-41.52185093050207
210.81939799331107,-41.31569814125876
211.30434782608688,-41.00355292861356
211.7892976588629,-40.58326796177456
212.27424749163882,-40.053096872590885
212.7591973244147,-39.41171209403589
213.24414715719064,-38.65822097586245
213.72909698996656,-37.79218013052474
214.21404682274246,-36.813607973114856
214.69899665551839,-35.7229954277624
215.1839464882943,-34.521314779509034
215.6688963210702,-33.21002665497465
216.15384615384613,-31.791085117144675
216.63879598662206,-30.266940859359543
217.12374581939804,-28.64054248120444
217.60869565217388,-26.915335824675566
218.0936454849499,-25.09526134302763
218.5785953177257,-23.184749467421554
219.0635451505017,-21.18871392833206
219.54849498327755,-19.112542980097036
220.03344481605353,-16.962088468528513
220.51839464882937,-14.743652673703062
221.00334448160535,-12.463972853482392
221.48829431438128,-10.130203408551226
221.9732441471572,-7.749895587356793
222.45819397993313,-5.3309746498258255
222.94314381270902,-2.881714412585116
223.42809364548495,-0.4107091060479456
223.91304347826087,2.073157514516974
224.39799331103677,4.560745845709062
224.88294314381267,7.042696921675445
225.36789297658862,9.509471704782703
225.85284280936452,11.951393147762689
226.33779264214053,14.358690960064347
226.82274247491637,16.72154897354722
227.30769230769235,19.030154961679695
227.79264214046816,21.274752722672023
228.27759197324417,23.44569619116852
228.76254180602,25.533505296077053
229.24749163879602,27.528923234713154
229.73244147157192,29.42297478665375
230.21739130434784,31.207025245554284
230.70234113712377,32.87283950472783
231.18729096989966,34.41264079357197
231.6722408026756,35.819168528000596
232.1571906354515,37.08573470988858
232.6421404682274,38.206278289097774
233.12709030100334,39.17541688776803
233.61204013377926,39.98849528095395
234.09698996655516,40.64163003097462
234.58193979933108,41.1317496854497
235.066889632107,41.45662997123012
235.551839464883,41.61492344837213
236.03678929765883,41.606183129894575
236.5217391304348,41.43087962400641
237.00668896321065,41.090411415352385
237.49163879598666,40.58710796993045
237.9765886287625,39.92422542386689
238.46153846153848,39.10593469819313
238.9464882943144,38.1373019689918
239.4314381270903,37.02426151350388
239.91638795986623,35.77358104659834
240.40133779264215,34.392819756940376
240.88628762541805,32.890279346710386
241.37123745819397,31.27494847125371
241.8561872909699,29.55644106403596
242.3411371237458,27.744929116193987
242.82608695652172,25.851070557355644
243.31103678929765,23.885932953872263
243.79598662207366,21.860913800915963
244.28093645484947,19.787658234933527
244.76588628762545,17.67797503177093
245.2508361204013,15.543751782655168
245.7357859531773,13.39687015456121
246.22073578595314,11.249122143000587
246.70568561872915,9.112128213802203
247.19063545150496,6.997258206137244
247.67558528428094,4.915555832197486
248.16053511705687,2.8776675601116644
248.6454849498328,0.8937766066296792
249.1304347826087,-1.0264573042324727
249.6153846153846,-2.8739518399176296
250.10033444816054,-4.6402491261792145
250.58528428093643,-6.317555586774152
251.07023411371236,-7.8987742596999135
251.55518394648828,-9.377529396142126
252.04013377926418,-10.748183252632966
252.5250836120401,-12.005845091505995
253.01003344481612,-13.146372507967092
253.49498327759193,-14.166365302424522
253.97993311036794,-15.063152212644411
254.46488294314378,-15.834770910419287
254.9498327759198,-16.479941750486358
255.4347826086956,-16.99803583425204
255.91973244147158,-17.38903801648737
256.40468227424753,-17.653505538716338
256.88963210702343,-17.792523017878985
257.3745819397993,-17.80765455253345
257.8595317725753,-17.700893731066103
258.3444816053512,-17.474612337009173
258.8294314381271,-17.131508545659948
259.314381270903,-16.674555394014885
259.7993311036789,-16.106950282937575
260.2842809364548,-15.432066237039914
260.7692307692308,-14.653405604617216
261.25418060200667,-13.774556827950024
261.73913043478257,-12.799154854249744
262.2240802675586,-11.730845690457667
262.7090301003344,-10.573255532056708
263.1939799331104,-9.329964818103724
263.6789297658862,-8.00448748297397
264.1638795986622,-6.600255590956222
264.64882943143806,-5.1206094539972025
265.13377926421407,-3.568793246692965
265.61872909699,-1.9479560471655069
266.1036789297659,-0.2611581488099003
266.5886287625418,1.4886175929303973
267.0735785953177,3.2984496916353563
267.55852842809367,5.165457624053798
268.04347826086956,7.086777539369821
268.5284280936455,9.059534596180248
269.0133779264214,11.080812493351296
269.4983277591973,13.147620806933016
269.9832775919732,15.256860783235263
270.46822742474916,17.405290267571374
270.95317725752506,19.58948846870523
271.43812709030107,21.80582127043331
271.9230769230769,24.050407803816523
272.4080267558529,26.319088986271726
272.8929765886287,28.60739871702751
273.3779264214047,30.910538392470094
273.86287625418055,33.22335536981189
274.34782608695656,35.540325963622344
274.83277591973246,37.855543507431925
275.3177257525084,40.16271195234069
275.8026755852843,42.45514540691161
276.2876254180602,44.7257739482578
276.7725752508361,46.96715595393163
277.25752508361205,49.17149711882087
277.74247491638795,51.3306762317042
278.2274247491639,53.43627769344059
278.7123745819398,55.47963066404609
279.1973244147157,57.45185463031536
279.6822742474916,59.34391109038288
280.16722408026754,61.14666095794038
280.6521739130435,62.85092719800838
281.1371237458194,64.44756211950111
281.62207357859535,65.9275186685795
282.1070234113712,67.28192499224087
282.5919732441472,68.50216147492188
283.07692307692304,69.57993939325354
283.561872909699,70.50738028653525
284.04682274247494,71.27709510394295
284.53177257525084,71.8822621647612
285.0167224080268,72.3167029556836
285.5016722408027,72.5749547899822
285.9866220735786,72.65233936739774
286.4715719063545,72.54502630109437
286.95652173913044,72.25009071887281
287.44147157190633,71.76556409975484
287.9264214046823,71.09047757356932
288.4113712374582,70.2248969895475
288.8963210702341,69.16994914931082
289.38127090301,67.92783869887114
289.866220735786,66.50185528210626
290.3511705685618,64.89637067317047
290.83612040133784,63.1168257258756
291.3210702341137,61.16970710251482
291.8060200668897,59.06251387114112
292.29096989966547,56.80371418706149
292.7759197324415,54.40269239943774
293.26086956521743,51.869687045478095
293.74581939799333,49.215720310945905
294.2307692307692,46.45251964485021
294.7157190635452,43.59243231651219
295.2006688963211,40.64833379325076
295.685618729097,37.633530895277204
296.1705685618729,34.561660749899055
296.6555183946488,31.446586618804524
297.1404682274247,28.302291709303258
297.6254180602007,25.142772102435032
298.11036789297657,21.981929937557528
298.59531772575247,18.833467984404788
299.0802675585285,15.710786709909414
299.5652173913043,12.626884908794995
300.0501672240803,9.594264914830477
300.53511705685617,6.624843344603067
301.0200668896321,3.729868248903402
301.5050167224081,0.9198434596296368
301.98996655518397,-1.7955391760223247
302.47491638795987,-4.407459085780706
302.9598662207358,-6.908017307784688
303.4448160535117,-9.29027750524414
303.9297658862876,-11.548297409409306
304.41471571906357,-13.677150555617445
304.89966555183946,-15.672938291513775
305.38461538461536,-17.532792147932494
305.8695652173913,-19.254866769837683
306.3545150501672,-20.838323705750586
306.8394648829431,-22.28330644796979
307.32441471571906,-23.590907201530953
307.80936454849495,-24.763125936338945
308.29431438127096,-25.802822343519097
308.7792642140468,-26.713661373255054
309.26421404682276,-27.500053076880157
309.7491638795986,-28.16708751065033
310.2341137123746,-28.720465482507816
310.7190635451505,-29.16642593649014
311.20401337792646,-29.51167077266618
311.68896321070235,-29.763287894139523
312.17391304347825,-29.92867325744593
312.6588628762542,-30.01545267938372
313.1438127090301,-30.031404122829667
313.628762541806,-29.98438114736421
314.11371237458195,-29.882238168537402
314.59866220735785,-29.732758123347704
315.08361204013374,-29.543583089980167
315.5685618729097,-29.322148358012413
316.0535117056856,-29.075620392069542
316.5384615384615,-28.810839078135853
317.02341137123744,-28.5342645881913
317.50836120401345,-28.25192914620381
317.99331103678924,-27.96939392736296
318.47826086956525,-27.69171127325251
318.9632107023411,-27.4233923587982
319.4481605351171,-27.16838040255126
319.933110367893,-26.930029470322125
320.41806020066895,-26.71108888342779
320.90301003344484,-26.513693206819113
321.38795986622074,-26.339357758992133
321.87290969899664,-26.188979554692473
322.3578595317726,-26.062843562743875
322.8428093645485,-25.960634134615695
323.3277591973244,-25.88145143428394
323.81270903010034,-25.823832676241892
324.29765886287623,-25.78577795588939
324.78260869565213,-25.764780434696814
325.2675585284281,-25.757860621277267
325.752508361204,-25.761604468612884
326.2374581939799,-25.77220498704667
326.7224080267559,-25.785507052199357
327.2073578595317,-25.797055066710698
327.69230769230774,-25.802143114715204
328.17725752508363,-25.795867228389636
328.6622073578596,-25.7731793669887
329.1471571906355,-25.728942690790117
329.6321070234114,-25.657987695664595
330.11705685618733,-25.55516875896085
330.60200668896323,-25.415420634493554
331.0869565217391,-25.233814424105628
331.5719063545151,-25.005612546028825
332.056856187291,-24.726322216559137
332.5418060200669,-24.39174696185662
333.0267558528428,-23.99803568139938
333.5117056856187,-23.541728794142248
333.9966555183946,-23.019801013068733
334.4816053511705,-22.42970031381634
334.9665551839465,-21.769382688550653
335.45150501672236,-21.03734230731422
335.9364548494984,-20.232636745628906
336.4214046822742,-19.354906979022093
336.9063545150502,-18.4043918920953
337.3913043478261,-17.38193710137424
337.876254180602,-16.288997946963818
338.36120401337797,-15.127636567375323
338.84615384615387,-13.900513034096427
339.33110367892976,-12.610870586740017
339.8160535117057,-11.262515075082492
340.3010033444816,-9.859788780060741
340.7859531772575,-8.4075388508832
341.27090301003346,-6.91108065884119
341.75585284280936,-5.37615642919942
342.24080267558526,-3.8088895697292964
342.7257525083612,-2.2157351670978107
343.2107023411371,-0.6034271695595149
343.695652173913,1.021077184577632
344.180602006689,2.650655099143225
344.66555183946485,4.278077492808658
345.15050167224086,5.896069173600579
345.6354515050167,7.49736926631383
346.12040133779266,9.074791242295229
346.6053511705686,10.621281908089673
347.0903010033445,12.129978725038121
347.5752508361204,13.594264855859084
348.06020066889636,15.007821366182123
348.54515050167225,16.36467604842505
349.03010033444815,17.659248381695896
349.5150501672241,18.886390193824994
350.0,20.04142164934822
