Wavelength(nm),Delta_epsilon(M^-1 cm^-1)
202.0,21.464608726989947
202.39464882943145,21.534408776385195
202.78929765886286,21.54820192182764
203.18394648829428,21.503567932793604
203.57859531772573,21.398257744550875
203.97324414715717,21.23020911672537
204.36789297658862,20.99756121322231
204.76254180602007,20.69866797518863
205.1571906354515,20.332110172620723
205.55183946488296,19.896706035831166
205.94648829431438,19.39152038505176
206.3411371237458,18.815872194704628
206.73578595317724,18.169340548017914
207.1304347826087,17.45176895738438
207.52508361204013,16.66326804581703
207.91973244147155,15.80421660470395
208.31438127090297,14.875261062447995
208.70903010033447,13.87731341714695
209.1036789297659,12.811547703887136
209.4983277591973,11.679395083158376
209.89297658862876,10.482537651059472
210.2876254180602,9.22290108406859
210.68227424749165,7.902646240980969
211.07692307692307,6.5241598519666155
211.47157190635448,5.090044429436273
211.86622073578593,3.6031075374305037
212.26086956521738,2.066350555526938
212.65551839464882,0.48295706981827163
213.05016722408024,-1.1437189825784722
213.44481605351172,-2.8101652976219595
213.83946488294316,-4.512723210118841
214.23411371237458,-6.247599627232391
214.62876254180603,-8.01087881056687
215.02341137123744,-9.798533943900848
215.4180602006689,-11.606438440937486
215.81270903010034,-13.430376965409693
216.20735785953175,-15.266056154087122
216.6020066889632,-17.10911505124888
216.99665551839462,-18.955135280560306
217.3913043478261,-20.799650996600214
217.78595317725754,-22.638158673093784
218.18060200668896,-24.466126797836914
218.5752508361204,-26.279005554973107
218.96989966555185,-28.07223658341073
219.36454849498327,-29.841262905464355
219.7591973244147,-31.581539122073647
220.15384615384613,-33.28854197005931
220.54849498327758,-34.95778133274133
220.94314381270902,-36.584811787873576
221.33779264214044,-38.165244766324285
221.7324414715719,-39.69476138139081
222.12709030100336,-41.16912597231459
222.5217391304348,-42.584200386740164
222.91638795986623,-43.93595900590527
223.31103678929765,-45.220504493653586
223.7056856187291,-46.434084226417376
224.10033444816054,-47.57310733659671
224.49498327759198,-48.634162276821606
224.8896321070234,-49.61403478796558
225.28428093645482,-50.50972613004817
225.67892976588627,-51.31847141287236
226.07357859531774,-52.03775784293422
226.46822742474916,-52.66534268532629
226.8628762541806,-53.19927072450234
227.25752508361205,-53.63789099629723
227.6521739130435,-53.979872555868205
228.04682274247492,-54.224219042523835
228.44147157190633,-54.370281802945314
228.83612040133778,-54.41777133922257
229.23076923076923,-54.366766857452866
229.62541806020067,-54.21772370634629
230.0200668896321,-53.971478513213356
230.4147157190635,-53.62925184664844
230.80936454849495,-53.19264826087258
231.20401337792643,-52.663653605665765
231.59866220735785,-52.04462951765626
231.9933110367893,-51.33830504292093
232.38795986622074,-50.54776537681957
232.7826086956522,-49.67643774412645
233.1772575250836,-48.728074480198664
233.57190635451502,-47.70673341147643
233.96655518394647,-46.61675567038922
234.36120401337791,-45.46274111510334
234.75585284280936,-44.24952155786044
235.1505016722408,-42.982132036343835
235.54515050167225,-41.66578039003088
235.9397993311037,-40.30581542736213
236.33444816053512,-38.90769398937424
236.72909698996654,-37.476947230861605
237.12374581939798,-36.01914645090134
237.51839464882943,-34.539868810524254
237.91304347826087,-33.04466327636068
238.3076923076923,-31.53901712524268
238.7023411371237,-30.028323336101554
239.09698996655516,-28.51784918223497
239.4916387959866,-27.012706319401573
239.88628762541805,-25.517822643560514
240.2809364548495,-24.037916166812238
240.67558528428094,-22.577471131670777
241.0702341137124,-21.140716552718743
241.4648829431438,-19.731607341496176
241.85953177257522,-18.35380813572877
242.25418060200667,-17.010679918289608
242.64882943143812,-15.705269475197754
243.04347826086956,-14.440301706057951
243.43812709030107,-13.218174765207543
243.83277591973248,-12.0409579779774
244.22742474916393,-10.910392444394995
244.62207357859535,-9.827894212802578
245.0167224080268,-8.794559878627604
245.41137123745824,-7.8111744392633895
245.80602006688966,-6.878221214977004
246.2006688963211,-5.995893628162815
246.59531772575252,-5.164108619259954
246.98996655518397,-4.382521467328281
247.38461538461542,-3.65054177664961
247.77926421404683,-2.9673503877478926
248.17391304347828,-2.3319169718050894
248.5685618729097,-1.7430180714334054
248.96321070234114,-1.1992553579525589
249.3578595317726,-0.6990738854724714
249.752508361204,-0.24078013491594616
250.14715719063545,0.17744034366204592
250.54180602006687,0.5575058648288153
250.93645484949832,0.9014222729782555
251.33110367892976,1.2112674740002922
251.72575250836118,1.4891769470502974
252.12040133779263,1.7373303279985988
252.51505016722405,1.9579391337498158
252.9096989966555,2.153235674214508
253.30434782608694,2.325463176598593
253.69899665551836,2.476867125131104
254.0936454849498,2.6096877986381073
254.48829431438122,2.726153968722547
254.88294314381267,2.828477702936344
255.2775919732441,2.9188502004103944
255.67224080267553,2.9994385720954826
256.06688963210695,3.0723834641892758
256.4615384615384,3.1397974115845853
256.85618729096984,3.2037637983508973
257.2508361204013,3.2663362944118917
257.6454849498328,3.329538631743916
258.04013377926424,3.3953645796129455
258.4347826086956,3.465777976593836
258.8294314381271,3.5427126773641717
259.2240802675585,3.628072274511693
259.61872909698997,3.723729459803508
260.0133779264214,3.831524895490939
260.4080267558528,3.9532654742105207
260.8026755852843,4.0907218558239204
261.19732441471575,4.245625181043188
261.5919732441472,4.41966287482876
261.98662207357864,4.614473467231224
262.3812709030101,4.831640375468524
262.7759197324415,5.07268460847071
263.1705685618729,5.339056373750887
263.5652173913044,5.632125586129263
263.9598662207358,5.953171298382401
264.35451505016727,6.303370095131792
264.74916387959865,6.683783513026281
265.1438127090301,7.095344572292108
265.53846153846155,7.538843526785301
265.933110367893,8.01491296152733
266.32775919732444,8.52401238805865
266.72240802675583,9.06641250851585
267.1170568561873,9.642179338816952
267.5117056856187,10.251158399405686
267.90635451505017,10.89295919833278
268.3010033444816,11.566940245704885
268.695652173913,12.272194850377705
269.09030100334445,13.007537958884065
269.4849498327759,13.771494302654803
269.87959866220734,14.56228812231461
270.2742474916388,15.377834736950087
