Wavelength(nm),Delta_epsilon(M^-1 cm^-1)
202.0,29.510610129903903
202.39464882943142,30.03770767662272
202.7892976588629,30.498189728072347
203.18394648829428,30.887526311529165
203.57859531772576,31.201512061624012
203.97324414715717,31.43631557308849
204.36789297658862,31.58852667692642
204.76254180602007,31.655200932486366
205.15719063545149,31.63390063095583
205.55183946488296,31.522731620366606
205.94648829431435,31.32037528878466
206.34113712374582,31.026115081241073
206.73578595317724,30.639856977208346
207.1304347826087,30.162143418862758
207.52508361204013,29.594160255566006
207.91973244147155,28.93773635624586
208.31438127090303,28.19533563769206
208.70903010033442,27.370041361965367
209.1036789297659,26.46553266865228
209.4983277591973,25.486053425846876
209.89297658862876,24.43637360553955
210.2876254180602,23.321743512409117
210.68227424749165,22.14784131754019
211.0769230769231,20.920714467947505
211.47157190635448,19.64671565651352
211.86622073578596,18.33243414261396
212.26086956521738,16.984623308919346
212.65551839464882,15.61012542236889
213.05016722408027,14.215794635048944
213.44481605351172,12.808419311820263
213.83946488294316,11.394644804521896
214.23411371237455,9.980897806220577
214.62876254180603,8.573313412508993
215.02341137123744,7.177665989894913
215.4180602006689,5.79930490396152
215.81270903010034,4.443096092766987
216.20735785953178,3.1133703848782868
216.60200668896323,1.8138793579877521
216.99665551839462,0.5477594150930754
217.3913043478261,-0.6824953769678049
217.7859531772575,-1.8750512846653915
218.18060200668896,-3.0287434892241576
218.5752508361204,-4.143075156207372
218.96989966555185,-5.218207053773619
219.3645484949833,-6.254937934995206
219.75919732441469,-7.25467604946582
220.15384615384616,-8.219402291114283
220.54849498327758,-9.151625619814165
220.94314381270902,-10.054331511414187
221.33779264214047,-10.930924291958286
221.73244147157192,-11.785164295281305
222.12709030100334,-12.621100847454953
222.52173913043475,-13.443002125844865
222.91638795986623,-14.255282964418237
223.31103678929765,-15.062431680560357
223.7056856187291,-15.868936982630673
224.10033444816054,-16.67921598291948
224.49498327759198,-17.49754428908716
224.8896321070234,-18.327989080468225
225.28428093645482,-19.174345996022645
225.6789297658863,-20.04008057064389
226.0735785953177,-20.92827485858456
226.46822742474916,-21.841579779589217
226.8628762541806,-22.782173617561966
227.25752508361205,-23.751726995793998
227.65217391304347,-24.751374549279177
228.0468227424749,-25.781693415594233
228.44147157190636,-26.84268857301034
228.83612040133778,-27.933784969434697
229.23076923076923,-29.05382630954037
229.62541806020067,-30.201080300742895
230.02006688963212,-31.37325010185999
230.41471571906354,-32.567491671267774
230.80936454849495,-33.7804366737677
