Wavelength(nm),Delta_epsilon(M^-1 cm^-1)
205.0,-58.10168807580613
205.48494983277587,-61.6656906082371
205.96989966555185,-65.03366868807379
206.45484949832783,-68.04148176753246
206.9397993311037,-70.48863064660063
207.42474916387957,-72.14197839505923
207.90969899665555,-72.7461114676013
208.3946488294315,-72.0418057413208
208.87959866220737,-69.7927351453445
209.36454849498327,-65.81847889369443
209.84949832775914,-60.02940405046063
210.3344481605351,-52.456837927382686
210.81939799331107,-43.271034015567935
211.30434782608694,-32.78058234535644
211.7892976588628,-21.41034893294054
212.2742474916388,-9.660084490176272
212.75919732441477,1.9489869419264438
213.24414715719064,12.9288568597016
213.7290969899665,22.86967245868411
214.2140468227425,31.467002909819247
214.69899665551847,38.528821846473896
215.18394648829434,43.965050369567244
215.6688963210702,47.766134284729745
216.1538461538462,49.9779978354762
216.63879598662206,50.679177806590396
217.123745819398,49.96319534027273
217.6086956521739,47.92658103696414
218.09364548494977,44.66131823669146
218.57859531772573,40.25009914151381
219.0635451505017,34.76348427874959
219.54849498327758,28.259285270058683
220.03344481605345,20.785594379396255
220.51839464882943,12.389256860870939
221.0033444816054,3.1308409730176208
221.48829431438128,-6.894714703301203
221.97324414715715,-17.535173543860473
222.45819397993313,-28.561595092331206
222.94314381270908,-39.65938310205918
223.42809364548498,-50.43567012793972
223.91304347826085,-60.445509032971685
224.3979933110367,-69.23439078569365
224.8829431438127,-76.38975349788895
225.36789297658868,-81.59116807902325
225.85284280936452,-84.64890087240785
226.3377926421404,-85.52352367634444
226.82274247491637,-84.32402377405731
227.30769230769235,-81.28676922426237
227.79264214046822,-76.74121354191298
228.2775919732441,-71.06964415281713
228.76254180602007,-64.66774029516466
229.24749163879605,-57.910940732749474
229.73244147157192,-51.12946836514458
230.21739130434779,-44.592913316685426
230.70234113712377,-38.50380373152142
231.18729096989964,-32.99862724439461
231.67224080267562,-28.154240519294202
232.15719063545149,-23.99744245705234
232.64214046822735,-20.515635846210674
233.12709030100334,-17.66692964171361
233.61204013377932,-15.388686397684149
234.09698996655516,-13.604270888437098
234.58193979933105,-12.228402922572904
235.066889632107,-11.171853467409338
235.551839464883,-10.346153021523431
236.03678929765886,-9.668581723853386
236.52173913043475,-9.067190871619594
237.0066889632107,-8.485197295788874
237.4916387959867,-7.883949538021835
237.97658862876256,-7.2438211234264855
238.46153846153842,-6.5627680878340415
238.9464882943144,-5.852761837424505
239.43143812709027,-5.1347339912336585
239.91638795986626,-4.432941635238083
240.40133779264212,-3.7697285725928387
240.886287625418,-3.1615229522006945
241.37123745819397,-2.616618028310935
241.85618729096996,-2.1349037627848393
242.3411371237458,-1.7093393006952735
242.8260869565217,-1.328658989924486
243.31103678929765,-0.9806371512271345
243.79598662207363,-0.6552105452021276
244.2809364548495,-0.3468536964590676
244.7658862876254,-0.05578773235008403
245.25083612040135,0.21215908876287265
245.73578595317733,0.44696991692472554
246.2207357859532,0.6368412948032244
246.70568561872906,0.7711053578368102
247.19063545150493,0.8431254669941992
247.6755852842809,0.8526319929194462
248.1605351170569,0.8070730061958539
248.64548494983276,0.7217362653636727
249.13043478260863,0.6186169471623565
249.6153846153846,0.5242177889307243
250.1003344481606,0.46664238494013593
250.58528428093643,0.47246153864396534
251.07023411371233,0.5638855269688812
251.55518394648828,0.7567422915146841
252.04013377926427,1.0596192245419866
252.52508361204013,1.4742744477543313
253.01003344481603,1.9971146745406025
253.49498327759198,2.6212714272716697
253.97993311036788,3.3386885866723963
254.46488294314383,4.14170922508805
254.9498327759197,5.023881386219418
255.43478260869557,5.979990305109398
255.91973244147155,7.005557006728617
256.40468227424753,8.096147779084077
256.88963210702343,9.246804533864154
257.37458193979927,10.451774235630138
257.8595317725752,11.704553840494587
258.34448160535123,12.99813952866308
258.8294314381271,14.325316097032072
259.31438127090297,15.67885319099159
259.7993311036789,17.051567096549682
260.28428093645493,18.43631378798755
260.7692307692308,19.826047873123645
261.25418060200667,21.21407719451312
261.7391304347826,22.5945642001753
262.2240802675585,23.96320892801412
262.7090301003345,25.317946187809884
263.19397993311037,26.65944044746109
263.6789297658862,27.99117669553715
264.1638795986622,29.31901144467422
264.6488294314382,30.650146779663732
265.133779264214,31.99161021636458
265.6187290969899,33.3484542991967
266.1036789297659,34.72200994072012
266.5886287625419,36.10859627150231
267.0735785953177,37.49906520250572
267.5585284280936,38.879425472244
268.04347826086956,40.23257630375269
268.52842809364546,41.540945604990895
269.0133779264214,42.78963698227987
269.4983277591973,43.969587694247934
269.98327759197315,45.08023962024763
270.46822742474916,46.131314632120244
270.9531772575251,47.1434355300725
271.438127090301,48.14751056158968
271.92307692307685,49.18297483819425
272.4080267558528,50.29513333364193
272.8929765886288,51.53195694925456
273.3779264214047,52.94072552874396
273.86287625418055,54.56487950465262
274.3478260869565,56.44134619875552
274.8327759197325,58.59848185817706
275.31772575250835,61.05466020402083
275.80267558528425,63.817474194460864
276.2876254180602,66.8835001049109
276.7725752508361,70.23856666377375
277.25752508361205,73.85842474678678
277.74247491638795,77.70959437870133
278.2274247491638,81.75000409178719
278.7123745819398,85.9289267089802
279.19732441471575,90.18576991975583
279.68227424749165,94.44756134251263
280.1672240802675,98.62543540474505
280.6521739130435,102.61095563436665
281.13712374581945,106.27354125130992
281.6220735785953,109.4604938389529
282.1070234113712,112.00105302398349
282.5919732441472,113.71546430492191
283.07692307692304,114.42913653530037
283.561872909699,113.99060864957116
284.0468227424749,112.29045813600221
284.53177257525084,109.27696615244747
285.01672240802674,104.96396656451331
285.5016722408027,99.42737553124735
285.9866220735786,92.78947039014913
286.4715719063544,85.19343557807748
286.95652173913044,76.77385217088349
287.4414715719064,67.63042776230313
287.9264214046823,57.81161521229743
288.4113712374581,47.3120583483291
288.89632107023414,36.08411200861921
289.3812709030101,24.06040543335761
289.866220735786,11.182523105651061
290.3511705685618,-2.5694871053607042
290.8361204013378,-17.151410604491563
291.3210702341137,-32.4365619922062
291.80602006688963,-48.20741231574846
292.2909698996655,-64.15860815875732
292.77591973244137,-79.91166259880434
293.2608695652174,-95.04030081592971
293.74581939799333,-109.10412639869888
294.2307692307692,-121.68704455908185
294.71571906354507,-132.43584416046798
295.2006688963211,-141.09373199105096
295.68561872909703,-147.5238295761153
296.1705685618729,-151.71903570148777
296.65551839464877,-153.79714212770543
297.1404682274248,-153.9829554051231
297.62541806020073,-152.58137266175856
298.11036789297657,-149.9461186002519
298.59531772575247,-146.44818740391355
299.0802675585285,-142.44668342768975
299.5652173913043,-138.26361753216733
300.05016722408027,-134.16374017336324
300.53511705685617,-130.34048240456892
301.02006688963206,-126.90900576663883
301.505016722408,-123.90686362517842
301.98996655518397,-121.30189191790885
302.47491638795987,-119.00601149012722
302.9598662207357,-116.89296939343333
303.4448160535117,-114.81779894003238
303.92976588628767,-112.63586115254726
304.41471571906357,-110.21959671724343
304.8996655518394,-107.4714751135241
305.3846153846154,-104.33207312860998
305.86956521739125,-100.78278588845963
306.35451505016727,-96.84336797548885
306.8394648829431,-92.5652268559474
307.32441471571906,-88.02197456345705
307.80936454849495,-83.29901476662481
308.2943143812709,-78.48382265755079
308.7792642140468,-73.65812563715261
309.26421404682264,-68.89258196673464
309.74916387959865,-64.24397419716588
310.2341137123746,-59.75452037388301
310.7190635451505,-55.45270535665463
311.20401337792634,-51.3550179419494
311.68896321070235,-47.468079614596576
312.1739130434783,-43.790798435506
312.6588628762542,-40.316326431205724
313.14381270903004,-37.03371448889738
313.62876254180605,-33.929237969691
314.1137123745819,-30.98741307371522
314.59866220735785,-28.191746859127385
315.08361204013374,-25.525271305400082
315.56856187290964,-22.970910737863857
316.0535117056856,-20.51172697596958
316.53846153846155,-18.131080599734986
317.02341137123744,-15.812741321893006
317.50836120401334,-13.54097635406997
317.9933110367893,-11.300643113091176
318.47826086956525,-9.077311571096024
318.96321070234114,-6.857441722267611
319.448160535117,-4.628642483776647
319.933110367893,-2.3800390005028897
320.41806020066883,-0.10277445788047257
320.90301003344484,2.209331759481978
321.3879598662207,4.558957812213548
321.8729096989967,6.944291816568359
322.35785953177253,9.357918503181686
322.84280936454854,11.785654261277093
323.3277591973244,14.205447550271579
323.8127090301003,16.586496215192675
324.29765886287623,18.888739814436747
324.7826086956522,21.062842296656957
325.2675585284281,23.050678273674993
325.752508361204,24.78619412154068
326.23745819397993,26.196393698142987
326.7224080267559,27.20218758124264
327.2073578595318,27.719018969465285
327.6923076923076,27.657534174091744
328.17725752508363,26.92497637421352
328.6622073578595,25.428228795363676
329.1471571906355,23.079302713483667
329.6321070234113,19.803474493328356
330.11705685618733,15.549361452601245
330.6020066889632,10.299329345945367
331.0869565217392,4.078152557309545
331.571906354515,-3.0419319769860094
332.0568561872909,-10.940767610204071
332.5418060200669,-19.454248418471842
333.0267558528428,-28.38158170044472
333.5117056856187,-37.49428108830251
333.9966555183946,-46.54548796924711
334.4816053511706,-55.27873413737839
334.9665551839464,-63.435800910498806
335.4515050167224,-70.76366458609303
335.93645484949826,-77.02061521119282
336.4214046822743,-81.98165065244598
336.9063545150501,-85.44338006432575
337.3913043478261,-87.22897377033865
337.87625418060196,-87.19397753704675
338.36120401337797,-85.23373030149844
338.8461538461538,-81.29247273580233
339.3311036789298,-75.37315740026679
339.81605351170566,-67.54596105245656
340.30100334448156,-57.95309786213083
340.7859531772575,-46.80798011430003
341.27090301003346,-34.38787615536584
341.75585284280936,-21.020510139318894
342.24080267558526,-7.066102451495273
342.7257525083612,7.103042653147616
343.2107023411371,21.123126475541234
343.69565217391306,34.657522705321895
344.1806020066889,47.41186254188025
344.6655518394649,59.144510587548304
345.15050167224075,69.67210335826393
345.63545150501676,78.870413644677
346.1204013377926,86.67115731995898
346.6053511705685,93.05550486392
347.09030100334445,98.04517784409134
347.57525083612046,101.69225938831296
348.0602006688963,104.06917649607554
348.5451505016722,105.26044843732807
349.03010033444815,105.35744888325928
349.5150501672241,104.45654974974808
350.0,102.65989394137999
