Wavelength(nm),Delta_epsilon(M^-1 cm^-1)
202.0,15.463409576697156
202.39464882943145,16.63399773243613
202.7892976588629,17.90355950009867
203.18394648829434,19.268360486604212
203.57859531772579,20.71997867752048
203.97324414715717,22.245234135197087
204.36789297658862,23.826842837731917
204.76254180602007,25.444915862582466
205.1571906354515,27.079254500534365
205.55183946488296,28.712153953879966
205.9464882943144,30.33118566661088
206.34113712374585,31.931281530191104
206.73578595317724,33.515489059674195
207.1304347826087,35.094039899210976
207.52508361204013,36.68180947207464
207.91973244147158,38.29469348203097
208.31438127090303,39.945720395998606
208.70903010033447,41.64175406322116
209.10367892976586,43.38142061749255
209.4983277591973,45.15451619787924
209.89297658862878,46.94275476101855
210.2876254180602,48.721419664425284
210.68227424749165,50.461359274023096
211.0769230769231,52.13082722881769
211.47157190635454,53.6968721764696
211.86622073578596,55.126251681486494
212.2608695652174,56.38608348440449
212.65551839464885,57.44456475307924
213.05016722408027,58.27203554822148
213.44481605351172,58.84244974150124
213.83946488294316,59.13502753604248
214.23411371237458,59.13562466178055
214.62876254180603,58.83728296699088
215.02341137123747,58.2395816643814
215.4180602006689,57.34674962959983
215.81270903010034,56.164903402839485
216.20735785953178,54.69908363737377
216.6020066889632,52.95084883284685
216.99665551839465,50.91701351889352
217.3913043478261,48.58975823815304
217.78595317725754,45.95793239420327
218.18060200668896,43.009069495964496
218.5752508361204,39.7315388643986
218.96989966555185,36.11638749153297
219.36454849498327,32.158717633895066
219.75919732441474,27.85878134231433
220.1538461538462,23.22321889950539
220.54849498327758,18.26691941764495
220.94314381270902,13.015798795065262
221.33779264214047,7.51041466907123
221.73244147157192,1.8098834844488043
222.12709030100336,-4.004820800285252
222.5217391304348,-9.829294143392342
222.91638795986626,-15.536885241652234
223.31103678929765,-20.983323381966958
223.7056856187291,-26.014934496403743
224.10033444816054,-30.47991255468721
224.49498327759198,-34.24140954689144
224.88963210702343,-37.19062556261499
225.28428093645488,-39.25781620113712
225.67892976588627,-40.41935540947832
226.0735785953177,-40.699719526538885
226.46822742474916,-40.16829994392244
226.8628762541806,-38.931962866048295
227.25752508361205,-37.12493069692114
227.6521739130435,-34.897716003961285
228.04682274247494,-32.40656931224415
228.44147157190636,-29.804411272987814
228.8361204013378,-27.233720153682132
229.23076923076925,-24.82147469404669
229.62541806020067,-22.676050705317383
230.02006688963212,-20.88589304444333
230.41471571906357,-19.519736354107344
230.80936454849498,-18.628036280411262
231.20401337792643,-18.24507845582087
231.59866220735788,-18.391044966710158
231.9933110367893,-19.07329795656213
232.38795986622074,-20.28641439468078
232.7826086956522,-22.01106047916625
233.17725752508363,-24.212437652145784
233.57190635451505,-26.839467491354824
233.9665551839465,-29.825853834116696
234.36120401337791,-33.09360210015348
234.75585284280936,-36.55867549659006
235.1505016722408,-40.137591002848794
235.54515050167225,-43.753270378969574
235.93979933110367,-47.33855456163289
236.33444816053512,-50.83640760936582
236.7290969899666,-54.1967235523607
237.12374581939798,-57.37047892701328
237.51839464882943,-60.30249163976051
237.91304347826087,-62.92417850735216
238.30769230769232,-65.14756808867223
238.70234113712377,-66.86163704687247
239.0969899665552,-67.9319487561534
239.4916387959866,-68.20455259521584
239.88628762541805,-67.51494858352531
240.2809364548495,-65.70239270975763
240.67558528428094,-62.62881287084482
241.0702341137124,-58.20028803816455
241.46488294314383,-52.38783181241469
241.85953177257528,-45.243621468552334
242.25418060200667,-36.90916352990558
242.64882943143812,-27.613160051264998
243.04347826086956,-17.658646044552942
243.438127090301,-7.400772926472552
243.83277591973246,2.781985621092358
244.2274247491639,12.519566613961535
