Wavelength(nm),Delta_epsilon(M^-1 cm^-1)
202.0,14.623736653021892
202.39464882943142,14.972257671358987
202.7892976588629,15.290517574491806
203.18394648829428,15.574850667817877
203.57859531772576,15.821791516589109
203.97324414715717,16.028094251379613
204.36789297658862,16.19073762918725
204.76254180602007,16.306919070300868
205.15719063545149,16.374042192022348
205.55183946488296,16.38970290776183
205.94648829431435,16.351678917917937
206.34113712374582,16.257926508972783
206.73578595317724,16.10658724010858
207.1304347826087,15.89600562942942
207.52508361204013,15.624757638602707
207.91973244147155,15.29168880757208
208.31438127090303,14.895960413641022
208.70903010033442,14.43710200748618
209.1036789297659,13.915068995409923
209.4983277591973,13.330304403738515
209.89297658862876,12.683804356002984
210.2876254180602,11.977186900098669
210.68227424749165,11.212763465810145
211.0769230769231,10.393611312159644
211.47157190635448,9.523643843593518
211.86622073578596,8.607673768915923
212.26086956521738,7.651462022280037
212.65551839464882,6.6617435609320355
213.05016722408027,5.646220072200018
213.44481605351172,4.613509720285495
213.83946488294316,3.573045673169108
214.23411371237455,2.5349183651574445
214.62876254180603,1.5096610509629969
215.02341137123744,0.5079836490997288
215.4180602006689,-0.4595346339434794
215.81270903010034,-1.3827787402289575
216.20735785953178,-2.25243902254035
216.60200668896323,-3.060341068093984
216.99665551839462,-3.799745867745586
217.3913043478261,-4.465604837683314
217.7859531772575,-5.054757885913322
218.18060200668896,-5.5660665546814645
218.5752508361204,-6.000477600370794
218.96989966555185,-6.361014872245345
219.3645484949833,-6.652699116263078
219.75919732441469,-6.882396806465176
220.15384615384616,-7.058600897770023
220.54849498327758,-7.191149003674666
220.94314381270902,-7.290888099961568
221.33779264214047,-7.3692991505078345
221.73244147157192,-7.43809932199794
222.12709030100334,-7.508842727134015
222.52173913043475,-7.59254195962643
222.91638795986623,-7.699331414448928
223.31103678929765,-7.838189396332629
223.7056856187291,-8.016729776958261
224.10033444816054,-8.241066460668586
224.49498327759198,-8.515746478390263
224.8896321070234,-8.84374151037673
225.28428093645482,-9.226484139776812
225.6789297658863,-9.663934741689534
226.0735785953177,-10.154667525245737
226.46822742474916,-10.695969098393634
226.8628762541806,-11.283948714681555
227.25752508361205,-11.913664539412018
227.65217391304347,-12.579273403679371
228.0468227424749,-13.274211633875613
228.44147157190636,-13.991411419272954
228.83612040133778,-14.72355140597778
229.23076923076923,-15.463333087849572
229.62541806020067,-16.203767810843356
230.02006688963212,-16.93845449221465
230.41471571906354,-17.661826686077866
230.80936454849495,-18.36934982092485
231.2040133779264,-19.05765482174182
231.59866220735785,-19.724601686417753
231.9933110367893,-20.369274270013882
232.38795986622074,-20.991913899508585
232.7826086956522,-21.593803249930605
233.1772575250836,-22.177112583390755
233.57190635451502,-22.74471818367309
233.96655518394647,-23.299998523978118
234.36120401337791,-23.84660881661583
234.75585284280936,-24.388230772078472
235.1505016722408,-24.928293185620515
235.54515050167225,-25.469661442198497
235.93979933110367,-26.014300462746565
236.3344481605351,-26.56292528384683
236.72909698996654,-27.114664628003627
237.12374581939798,-27.666772952664395
237.51839464882943,-28.214432724519764
237.91304347826087,-28.750688564901736
238.30769230769232,-29.266547005343252
238.70234113712374,-29.751259996679888
239.0969899665552,-30.19278889931568
239.4916387959866,-30.578421822163186
239.88628762541808,-30.895495101231415
240.2809364548495,-31.132153575174424
240.67558528428094,-31.278077259968537
241.0702341137124,-31.325105425952884
241.4648829431438,-31.26770224742129
241.85953177257522,-31.103228568896224
242.25418060200667,-30.832008132263294
242.64882943143814,-30.457199733091965
243.04347826086956,-29.984505696636248
243.438127090301,-29.421759490822996
243.83277591973246,-28.77844044070745
244.22742474916384,-28.06516198719794
244.6220735785953,-27.29317334607587
245.01672240802674,-26.473904839412977
245.4113712374582,-25.618576624995953
245.8060200668897,-24.73788068352572
246.20066889632108,-23.841737812997188
246.59531772575252,-22.939125518614166
246.9899665551839,-22.03796908829154
247.38461538461536,-21.14508649496606
247.7792642140468,-20.266177584037738
248.17391304347828,-19.405848761615488
248.56856187290975,-18.567665617292782
248.96321070234114,-17.75422721136419
249.3578595317726,-16.967256867906777
249.75250836120398,-16.207705102503724
250.14715719063543,-15.475860750644406
250.54180602006687,-14.771466516469411
250.93645484949835,-14.09383515931619
251.33110367892982,-13.441962528524083
251.7257525083612,-12.81463378067924
252.12040133779266,-12.210519456457611
