Wavelength(nm),Delta_epsilon(M^-1 cm^-1)
205.0,-14.408483633240653
205.4849498327759,-14.339342396186042
205.96989966555182,-14.254999795242007
206.45484949832772,-14.15560199568479
206.93979933110364,-14.041347587395709
207.42474916387954,-13.91248675671086
207.90969899665544,-13.769320114238003
208.39464882943145,-13.61219718331269
208.87959866220737,-13.44151455686804
209.36454849498327,-13.25771373356732
209.84949832775916,-13.061278647062842
210.33444816053517,-12.852732905164844
210.8193979933111,-12.632636758494076
211.304347826087,-12.401583820822372
211.7892976588629,-12.160197565745229
212.27424749163882,-11.909127626546535
212.7591973244147,-11.649045928088318
213.24414715719064,-11.3806426812577
213.72909698996654,-11.104622271912069
214.21404682274243,-10.821699077362812
214.69899665551836,-10.532593244212947
215.18394648829425,-10.238026461807975
215.66889632107018,-9.938717765661764
216.1538461538462,-9.635379404979354
216.63879598662209,-9.328712807820303
217.12374581939798,-9.019404676530575
217.6086956521739,-8.708123244831587
218.09364548494992,-8.395514726404345
218.5785953177258,-8.082199982957828
219.0635451505017,-7.76877143764996
219.54849498327764,-7.455790257357098
220.03344481605353,-7.143783824686627
220.51839464882946,-6.833243517834765
221.00334448160535,-6.524622813426922
221.48829431438125,-6.218335724384534
221.97324414715717,-5.914755581665005
222.45819397993307,-5.614214165460885
222.94314381270897,-5.317001188151973
223.4280936454849,-5.02336412801496
223.91304347826082,-4.733508409447758
224.39799331103683,-4.44759792228776
224.88294314381272,-4.165755869731525
225.36789297658862,-3.888065931428047
225.85284280936452,-3.6145737255481833
226.33779264214053,-3.345288551051765
226.82274247491642,-3.0801853890151922
227.30769230769235,-2.819207139755065
227.79264214046827,-2.562267070619187
228.27759197324417,-2.3092514477193014
228.76254180602007,-2.0600223235715793
229.24749163879596,-1.8144204515958997
229.7324414715719,-1.5722682977070372
230.2173913043478,-1.3333731188217792
230.7023411371237,-1.0975300779912376
231.1872909698996,-0.8645253660568918
231.6722408026755,-0.6341393002051414
232.15719063545143,-0.4061493705543931
232.64214046822744,-0.18033320693465804
233.12709030100336,0.043528560701001896
233.61204013377926,0.26564957327966426
234.09698996655516,0.4862351683422329
234.58193979933117,0.7054799819021097
235.06688963210706,0.923565745726613
235.551839464883,1.1406592971009022
236.03678929765888,1.3569108157715046
236.5217391304348,1.5724523003103015
237.0066889632107,1.7873962936154613
237.4916387959866,2.001834864698489
237.97658862876253,2.215838851323212
238.46153846153842,2.4294573654891103
238.94648829431435,2.642717561213288
239.43143812709025,2.855624661584462
239.91638795986614,3.0681622396641286
240.40133779264204,3.280292745513528
240.88628762541805,3.4919582694512394
241.37123745819397,3.7030815296120925
241.8561872909699,3.9135670700009353
242.3411371237459,4.1233026535254185
242.8260869565218,4.332160832966901
243.3110367892977,4.540000681512974
243.7959866220736,4.746669663337958
244.28093645484952,4.952005623785535
244.76588628762545,5.155838877980705
245.25083612040135,5.3579943761796684
245.73578595317724,5.558293923853589
246.22073578595314,5.756558434391148
246.70568561872906,5.952610192392953
247.190635451505,6.146275105809387
247.67558528428088,6.337384925632454
248.16053511705678,6.525779412485468
248.6454849498328,6.711308430246559
249.1304347826087,6.893833947784836
249.6153846153846,7.073231930962788
250.1003344481605,7.249394108257477
250.58528428093652,7.422229594656471
251.07023411371244,7.5916663598808585
251.55518394648834,7.757652528458959
252.04013377926424,7.9201575007084974
252.52508361204013,8.079172885265
253.01003344481606,8.234713235405916
253.49498327759198,8.38681658304914
253.97993311036788,8.535544765939779
254.46488294314378,8.680983545162027
254.94983277591967,8.82324251172015
255.4347826086956,8.962454782503142
255.91973244147152,9.098776487480182
256.4046822742474,9.232386051452842
256.88963210702343,9.36348327511128
257.3745819397993,9.49228822149631
257.8595317725752,9.619039915249832
258.3444816053511,9.743994863242673
258.82943143812713,9.867425406290353
259.314381270903,9.989617912706262
259.799331103679,10.110870825394269
260.2842809364549,10.231492575043257
260.7692307692308,10.351799372763345
261.2541806020067,10.472112896185857
261.7391304347826,10.592757883645916
262.2240802675585,10.714059651575361
262.7090301003344,10.836341550653653
263.1939799331103,10.959922376603709
263.6789297658862,11.085113751770713
264.1638795986621,11.212217493796963
264.64882943143806,11.34152298779781
265.13377926421407,11.473304578461034
265.61872909698997,11.607818998434016
266.10367892976586,11.745302849230654
266.5886287625419,11.885970150685901
267.07357859531777,12.03000997471555
267.5585284280937,12.177584178792804
268.0434782608696,12.32882525414712
268.5284280936455,12.4838343032119
269.0133779264214,12.642679160307724
269.4983277591973,12.805392668938488
269.9832775919732,12.971971128407272
270.4682274247491,13.142372921721233
270.95317725752506,13.316517335955963
271.43812709030095,13.494283585386142
271.92307692307685,13.675510046763215
272.4080267558528,13.859993715134864
272.89297658862876,14.04748988755294
273.3779264214047,14.237712080911475
273.8628762541806,14.430332188992528
274.3478260869565,14.624980882582847
274.8327759197325,14.821248255255638
275.3177257525084,15.018684716097532
275.8026755852843,15.216802129305245
276.2876254180602,15.41507519917987
276.77257525083616,15.612943097624019
277.25752508361205,15.809811329795568
277.74247491638795,16.005053832106288
278.22742474916384,16.19801529527907
278.7123745819398,16.38801370370379
279.1973244147157,16.574343080869664
279.6822742474916,16.75627642921103
280.1672240802675,16.933068851295275
280.6521739130434,17.103960837918354
281.1371237458194,17.26818170736664
281.6220735785953,17.424953178865316
282.1070234113712,17.573493062077358
282.5919732441472,17.713019043454384
283.07692307692315,17.84275254928362
283.56187290969905,17.961922664436084
284.04682274247494,18.069770085112356
284.53177257525084,18.165551083309108
285.0167224080268,18.24854146031283
285.5016722408027,18.31804046625894
285.9866220735786,18.373374662700893
286.4715719063545,18.413901705201713
286.9565217391304,18.43901402321228
287.4414715719063,18.448142374922543
287.92642140468223,18.44075925537736
