Wavelength(nm),Delta_epsilon(M^-1 cm^-1)
202.0,1.0924147456537008
202.39464882943145,0.960367375586149
202.78929765886286,0.8214395308932929
203.18394648829428,0.6756145282154603
203.57859531772573,0.5228895492335854
203.97324414715717,0.36327604056621504
204.36789297658862,0.19680007956123066
204.76254180602007,0.0235027038425785
205.1571906354515,-0.15655979742411955
205.55183946488296,-0.3433156324695335
205.94648829431438,-0.5366772978603929
206.3411371237458,-0.7365414131047688
206.73578595317724,-0.9427886004425071
207.1304347826087,-1.155283411188022
207.52508361204013,-1.3738742998310483
207.91973244147155,-1.5983936469325062
208.31438127090297,-1.82865783167673
208.70903010033447,-2.0644673547595174
209.1036789297659,-2.30560701210425
209.4983277591973,-2.551846119706042
209.89297658862876,-2.8029387897086897
210.2876254180602,-3.058624257619977
210.68227424749165,-3.3186272603701026
211.07692307692307,-3.5826584647168307
211.47157190635448,-3.850414945296533
211.86622073578593,-4.121580711420631
212.26086956521738,-4.395827281514122
212.65551839464882,-4.672814303895688
213.05016722408024,-4.9521902224028596
213.44481605351172,-5.233592985174205
213.83946488294316,-5.516650794713163
214.23411371237458,-5.8009828971777875
214.62876254180603,-6.086200408664172
215.02341137123744,-6.371907176084556
215.4180602006689,-6.657700670079895
215.81270903010034,-6.943172907255938
216.20735785953175,-7.227911398888851
216.6020066889632,-7.511500123114317
216.99665551839462,-7.793520517492245
217.3913043478261,-8.073552488727987
217.78595317725754,-8.351175436233172
218.18060200668896,-8.625969286121626
218.5752508361204,-8.89751553216264
218.96989966555185,-9.165398280153118
219.36454849498327,-9.42920529212361
219.7591973244147,-9.688529026760062
220.15384615384613,-9.942967672405096
220.54849498327758,-10.192126168998998
220.94314381270902,-10.435617215331064
221.33779264214044,-10.673062257999197
221.7324414715719,-10.904092458516377
222.12709030100336,-11.12834963505878
222.5217391304348,-11.345487175423568
222.91638795986623,-11.555170917849365
223.31103678929765,-11.757079996455515
223.7056856187291,-11.950907648172052
224.10033444816054,-12.136361978163915
224.49498327759198,-12.31316668089697
224.8896321070234,-12.481061714152705
225.28428093645482,-12.639803923470248
225.67892976588627,-12.789167614677929
