Wavelength(nm),Delta_epsilon(M^-1 cm^-1)
202.0,27.425319089112232
202.39464882943142,27.87698841160611
202.7892976588629,28.270893454503423
203.18394648829428,28.602413433528344
203.57859531772576,28.867148885747966
203.97324414715717,29.060974302003146
204.36789297658862,29.180090652005966
204.76254180602007,29.221077107398315
205.15719063545149,29.180941223910448
205.55183946488296,29.057166806405952
205.94648829431435,28.84775865175724
206.34113712374582,28.55128334598716
206.73578595317724,28.166905285842628
207.1304347826087,27.694417102865454
207.52508361204013,27.134263691930105
207.91973244147155,26.487559087826316
208.31438127090303,25.75609549418108
208.70903010033442,24.942343849887134
209.1036789297659,24.04944541977811
209.4983277591973,23.08119401854344
209.89297658862876,22.042008619089703
210.2876254180602,20.93689625729458
210.68227424749165,19.771405322115825
211.0769230769231,18.551569510287678
211.47157190635448,17.283842924524315
211.86622073578596,15.975026998730211
212.26086956521738,14.63219013799005
212.65551839464882,13.26258115941606
213.05016722408027,11.873537806242915
213.44481605351172,10.472391775715705
213.83946488294316,9.066371845247065
214.23411371237455,7.662506795223774
214.62876254180603,6.267529905516591
215.02341137123744,4.887786841711642
215.4180602006689,3.5291487429011745
215.81270903010034,2.1969322732827066
216.20735785953178,0.8958283038912195
216.60200668896323,-0.3701592508929614
216.99665551839462,-1.5977631028136554
217.3913043478261,-2.7844896514158743
217.7859531772575,-3.9286425846699586
218.18060200668896,-5.029332454375484
218.5752508361204,-6.086471972255295
218.96989966555185,-7.100757095151204
219.3645484949833,-8.07363429341072
219.75919732441469,-9.007254715816913
220.15384615384616,-9.904416267609198
220.54849498327758,-10.768494895957204
220.94314381270902,-11.60336662101447
221.33779264214047,-12.413322052705762
221.73244147157192,-13.202975287310757
222.12709030100334,-13.97716917881435
222.52173913043475,-14.740879024809905
222.91638795986623,-15.499116694199346
223.31103678929765,-16.256837154764256
223.7056856187291,-17.018849235523234
224.10033444816054,-17.789732286165727
224.49498327759198,-18.573760180002363
224.8896321070234,-19.37483385550739
225.28428093645482,-20.196423313625974
225.6789297658863,-21.041519693385183
226.0735785953177,-21.912597747374587
226.46822742474916,-22.81158874183048
226.8628762541806,-23.739863523609554
227.25752508361205,-24.698225237870286
227.65217391304347,-25.686910954334902
228.0468227424749,-26.7056012738267
228.44147157190636,-27.753436845914116
228.83612040133778,-28.829040636715302
229.23076923076923,-29.930544744934817
229.62541806020067,-31.055620573716293
230.02006688963212,-32.20151122353673
230.41471571906354,-33.3650650728335
230.80936454849495,-34.542769652283084
231.2040133779264,-35.730785088063456
231.59866220735785,-36.92497658028361
231.9933110367893,-38.120945585473926
232.38795986622074,-39.31405957661519
232.7826086956522,-40.499480450720604
233.1772575250836,-41.67219183293174
233.57190635451502,-42.82702567888234
233.96655518394647,-43.95868869630432
234.36120401337791,-45.06178918675584
234.75585284280936,-46.13086494498922
235.1505016722408,-47.160412844935394
235.54515050167225,-48.144920687791114
235.93979933110367,-49.078901791561876
236.3344481605351,-49.95693266700594
236.72909698996654,-50.77369395840476
237.12374581939798,-51.52401463669196
237.51839464882943,-52.20291922613911
237.91304347826087,-52.80567763375535
238.30769230769232,-53.327856942918174
238.70234113712374,-53.76537433949088
239.0969899665552,-54.1145501692567
239.4916387959866,-54.37215998833863
239.88628762541808,-54.535484370471536
240.2809364548495,-54.60235518191819
240.67558528428094,-54.57119702992808
241.0702341137124,-54.44106263529255
241.4648829431438,-54.21166097296823
241.85953177257522,-53.8833771640689
242.25418060200667,-53.457283282934974
242.64882943143814,-52.93513945794993
243.04347826086956,-52.31938488631989
243.438127090301,-51.6131186421684
243.83277591973246,-50.82007042435984
244.22742474916384,-49.94456165558394
244.6220735785953,-48.99145759774106
245.01672240802674,-47.966111381517536
245.4113712374582,-46.874301052160824
245.8060200668897,-45.72216090207994
246.20066889632108,-44.51610848879912
246.59531772575252,-43.26276882044283
246.9899665551839,-41.96889722863068
247.38461538461536,-40.64130244048387
247.7792642140468,-39.2867713092221
248.17391304347828,-37.911996569934445
248.56856187290975,-36.5235088583295
248.96321070234114,-35.12761407147196
249.3578595317726,-33.73033696740528
249.75250836120398,-32.33737170234996
250.14715719063543,-30.954039797251028
250.54180602006687,-29.5852558171214
250.93645484949835,-28.235500843774464
251.33110367892982,-26.908803631413086
251.7257525083612,-25.60872916054416
252.12040133779266,-24.33837415322822
252.51505016722405,-23.100368985046874
252.9096989966555,-21.896885328541497
253.30434782608694,-20.729648790264676
253.6989966555184,-19.599955758889514
254.09364548494986,-18.508693664000855
254.48829431438125,-17.456363852259585
254.88294314381272,-16.443106316944082
255.2775919732441,-15.46872556519431
255.67224080267556,-14.532716971017054
256.066889632107,-13.634293037468113
256.46153846153845,-12.77240907456643
256.85618729096996,-11.945787886734639
257.25083612040135,-11.152943151441777
257.6454849498328,-10.392201256202483
258.0401337792642,-9.661721441538756
258.4347826086956,-8.959514170873376
258.8294314381271,-8.283457713057691
259.2240802675585,-7.631312978381918
259.61872909699,-7.000736694058911
260.0133779264214,-6.389293040392694
260.40802675585286,-5.794463894697015
260.80267558528425,-5.213657847433542
261.1973244147157,-4.644218165228224
261.59197324414714,-4.083429879846944
261.9866220735786,-3.528526182432061
262.3812709030101,-2.9766942999378303
262.7759197324415,-2.425081027302153
263.1705685618729,-1.8707980858890048
263.5652173913043,-1.3109274773446018
263.95986622073576,-0.7425270031866057
264.3545150501672,-0.16263612483414197
264.74916387959865,0.43171765334959994
265.14381270903016,1.043511684164052
265.53846153846155,1.6757201528345054
265.933110367893,2.331304903242926
266.3277591973244,3.0132048739576742
266.72240802675583,3.724323886682432
267.1170568561873,4.467516516154482
267.5117056856187,5.245571761625228
267.9063545150502,6.06119423804479
268.3010033444816,6.916982612227308
268.69565217391306,7.815405027788809
269.0903010033445,8.758771294604609
269.4849498327759,9.74920166571122
269.87959866220734,10.78859208839328
270.2742474916388,11.87857589755887
270.6688963210703,13.020482018720264
271.0635451505017,14.215289864547714
271.4581939799331,15.463581241843055
271.8528428093646,16.765489732828815
272.24749163879596,18.120648172892267
272.6421404682274,19.52813501250279
273.03678929765886,20.98642051918698
273.43143812709036,22.493313940672643
273.82608695652175,24.045912906372124
274.2207357859532,25.640556484522776
274.61538461538464,27.272783429494144
275.01003344481603,28.93729724086143
275.4046822742475,30.6279397059167
275.7993311036789,32.337674603921975
276.1939799331104,34.05858320802759
276.5886287625418,35.78187312493321
276.98327759197326,37.49790186008946
277.3779264214047,39.196216286291296
277.7725752508361,40.86560892661826
278.16722408026754,42.49419164172249
278.561872909699,44.069486941575796
278.9565217391305,45.57853673033613
279.3511705685619,47.00802784953552
279.74581939799333,48.34443332085199
