Wavelength Range,Primary State,Secondary State,Mean,Std Dev
<205,N/A,N/A,N/A,N/A
205-210,--,N/A,-227.02,27.14
210-215,--,N/A,-174.82,56.08
215-220,++,--,41.93,50.9
220-225,++,N/A,87.04,17.87
225-230,++,N/A,75.86,22.85
230-235,++,N/A,201.68,37.49
235-240,++,N/A,208.15,43.57
240-245,--,++,-26.6,77.55
245-250,--,N/A,-213.63,23.56
250-255,--,N/A,-164.61,43.15
255-260,--,+,-24.05,30.3
260-265,++,N/A,30.98,4.06
265-270,++,N/A,27.94,2.5
270-275,++,N/A,25.7,0.86
275-280,++,N/A,30.03,1.81
280-285,++,N/A,47.63,10.14
285-290,++,N/A,115.34,29.16
290-295,++,N/A,210.53,20.25
295-300,++,N/A,210.37,23.77
300-305,++,--,55.02,60.7
305-310,--,N/A,-117.48,32.82
>310,--,++,-42.32,87.13
