Wavelength Range,Primary State,Secondary State,Mean,Std Dev
<205,++,+,26.38,4.57
205-210,++,N/A,49.22,8.13
210-215,++,N/A,66.54,1.56
215-220,++,N/A,47.61,11.88
220-225,+,-,-2.57,14.94
225-230,--,N/A,-40.6,6.85
230-235,--,N/A,-56.23,2.68
235-240,--,N/A,-55.11,4.63
240-245,--,-,-22.82,13.24
245-250,++,+,23.05,11.04
250-255,++,N/A,39.64,1.63
255-260,++,N/A,27.35,4.61
260-265,+,N/A,13.89,2.87
265-270,+,N/A,7.83,0.83
270-275,+,N/A,7.69,0.8
275-280,+,++,15.09,3.82
280-285,++,N/A,35.05,7.6
285-290,++,N/A,61.96,7.12
290-295,++,N/A,77.68,1.58
295-300,++,N/A,64.62,8.21
300-305,++,+,30.57,10.39
305-310,-,+,-2.39,7.96
>310,--,-,-20.29,2.11
