Wavelength Range,Primary State,Secondary State,Mean,Std Dev
<205,--,N/A,-28.0,2.91
205-210,--,N/A,-31.71,2.99
210-215,-,+,-2.87,13.3
215-220,++,N/A,48.68,14.2
220-225,++,N/A,73.0,2.74
225-230,++,N/A,44.25,13.24
230-235,-,+,-2.88,12.21
235-240,--,N/A,-32.29,5.24
240-245,--,N/A,-43.13,1.24
245-250,--,N/A,-37.0,5.07
250-255,-,--,-13.05,7.65
255-260,+,N/A,6.4,3.29
260-265,+,N/A,11.14,0.39
265-270,+,N/A,8.33,0.95
270-275,+,N/A,8.73,1.64
275-280,++,+,23.09,6.98
280-285,++,N/A,52.15,8.58
285-290,++,N/A,67.42,1.85
290-295,++,+,41.53,13.44
295-300,-,+,-6.96,12.3
300-305,--,N/A,-31.59,2.38
305-310,--,N/A,-28.6,3.29
>310,-,+,-2.55,11.88
