,State,Energy(cm-1),Wavelength(nm),fosc(ELEC),T2(au^2),TX(au),TY(au),TZ(au),,State,Energy(cm-1),Wavelength(nm),fosc(VELO),T2(au^2),TX(au),TY(au),TZ(au),,State,Energy(cm-1),Wavelength(nm),R(ELEC),MX(au),MY(au),MZ(au),,State,Energy(cm-1),Wavelength(nm),R(VELO),MX(au),MY(au),MZ(au)
,1,39671.6,252.1,0.060222637,0.49975,-0.21679,0.44006,-0.50902,,1,39671.6,252.1,0.003795109,0.00103,-0.01156,-0.01028,-0.0281,,1,39671.6,252.1,34.68489,-0.55896,0.52991,0.55163,,1,39671.6,252.1,37.78315,-0.55896,0.52991,0.55163
,2,40108.3,249.3,0.088258086,0.72443,0.6556,0.52933,0.1201,,2,40108.3,249.3,0.001062389,0.00029,0.00714,-0.00409,0.01495,,2,40108.3,249.3,115.5388,0.70108,-0.25923,-0.64398,,2,40108.3,249.3,9.18309,0.70108,-0.25923,-0.64398
,3,40454.3,247.2,0.010626626,0.08648,-0.08157,-0.18371,-0.21465,,3,40454.3,247.2,0.002081262,0.00058,-0.00977,0.02028,-0.0083,,3,40454.3,247.2,133.8345,0.67047,-0.70595,-0.97308,,3,40454.3,247.2,32.70417,0.67047,-0.70595,-0.97308
,4,40531.4,246.7,0.014432986,0.11723,-0.29902,-0.04703,-0.16002,,4,40531.4,246.7,0.00306143,0.00085,-0.02317,-0.01379,0.01099,,4,40531.4,246.7,8.25824,-0.27623,0.36524,0.29935,,4,40531.4,246.7,-11.88186,-0.27623,0.36524,0.29935
,5,40691.6,245.8,0.103063149,0.83382,0.25659,0.86212,-0.15726,,5,40691.6,245.8,0.001356186,0.00038,-0.00944,-0.00495,-0.01624,,5,40691.6,245.8,119.94783,-0.10859,0.28106,-0.25421,,5,40691.6,245.8,-9.56413,-0.10859,0.28106,-0.25421
,6,40959.9,244.1,0.173264293,1.3926,-0.97036,-0.64533,-0.18586,,6,40959.9,244.1,0.001987765,0.00056,0.00904,-0.00534,0.02112,,6,40959.9,244.1,-69.71771,0.13744,0.14557,-0.42739,,6,40959.9,244.1,21.62923,0.13744,0.14557,-0.42739
,7,41119.1,243.2,0.352713791,2.82393,-1.26344,-0.19185,-1.09126,,7,41119.1,243.2,0.003051202,0.00086,-0.00639,0.02106,0.01932,,7,41119.1,243.2,-205.53101,0.68902,-0.4606,-0.31726,,7,41119.1,243.2,50.90397,0.68902,-0.4606,-0.31726
,8,41403.3,241.5,0.215319984,1.71208,-0.3432,-0.97458,0.8028,,8,41403.3,241.5,0.001896855,0.00054,-0.01471,0.00441,0.01734,,8,41403.3,241.5,-130.38302,-0.08434,-0.25982,-0.69596,,8,41403.3,241.5,29.93185,-0.08434,-0.25982,-0.69596
,9,41630.3,240.2,0.364253046,2.88051,-0.33978,-1.45894,0.79784,,9,41630.3,240.2,0.009986379,0.00284,-0.04172,0.02778,0.01813,,9,41630.3,240.2,-20.88955,0.59627,-0.07965,0.05275,,9,41630.3,240.2,64.95679,0.59627,-0.07965,0.05275
,10,41959.7,238.3,0.165460948,1.29819,-0.41518,-0.77569,0.72397,,10,41959.7,238.3,0.017698493,0.00508,0.0068,-0.06075,-0.03658,,10,41959.7,238.3,141.51871,-0.53673,0.34132,0.47253,,10,41959.7,238.3,102.76072,-0.53673,0.34132,0.47253
