,State,Energy(cm-1),Wavelength(nm),fosc(ELEC),T2(au^2),TX(au),TY(au),TZ(au) ,,,State,Energy(cm-1),Wavelength(nm),fosc(VELO),T2(au^2),TX(au),TY(au),TZ(au) ,,State,Energy(cm-1),Wavelength(nm),R(ELEC),MX(au),MY(au) ,MZ(au),,,State,Energy(cm-1),Wavelength(nm),R(VELO),MX(au),MY(au) ,MZ(au)
,1,41518.3,240.9,0.020690395,0.16406,-0.14782,0.32374,-0.1934,,,1,41518.3,240.9,0.014746472,0.00418,0.0208,-0.01211,0.06004,,1,41518.3,240.9,45.56036,-0.87897,-0.3507,-0.4149,,,1,41518.3,240.9,97.06867,-0.87897,-0.3507,-0.4149
,2,41627.8,240.2,0.204245428,1.61527,-0.18916,0.55978,-1.12522,,,2,41627.8,240.2,0.00211132,0.0006,0.00357,0.02373,0.00497,,2,41627.8,240.2,-46.85401,-0.26689,0.00794,0.13714,,,2,41627.8,240.2,0.20432,-0.26689,0.00794,0.13714
,3,41849.8,238.9,0.035441214,0.2788,-0.06529,-0.26827,0.45007,,,3,41849.8,238.9,0.002354476,0.00067,-0.00899,0.00638,0.02349,,3,41849.8,238.9,10.81072,-0.8195,-0.15504,-0.16035,,,3,41849.8,238.9,-6.44853,-0.8195,-0.15504,-0.16035
,4,42080.1,237.6,0.19761422,1.54603,-0.37046,0.71449,0.94778,,,4,42080.1,237.6,0.01178855,0.00339,-0.01558,-0.01865,-0.05291,,4,42080.1,237.6,54.32964,0.64288,0.62138,-0.09556,,,4,42080.1,237.6,40.69672,0.64288,0.62138,-0.09556
,5,42390.3,235.9,0.26256022,2.0391,0.38764,-1.06859,-0.86426,,,5,42390.3,235.9,0.01182189,0.00342,-0.00599,-0.04518,0.03671,,5,42390.3,235.9,-163.07413,0.2725,0.54424,-0.15046,,,5,42390.3,235.9,77.48959,0.2725,0.54424,-0.15046
,6,44908.2,222.7,0.073858698,0.54144,0.25914,-0.36865,-0.58171,,,6,44908.2,222.7,0.017222594,0.00529,-0.02796,0.04495,0.04984,,6,44908.2,222.7,-10.35908,-0.25285,-0.20263,0.05355,,,6,44908.2,222.7,-1.45038,-0.25285,-0.20263,0.05355
,7,45502.9,219.8,1.019183607,7.37375,0.33662,-0.60807,-2.62501,,,7,45502.9,219.8,0.25054726,0.07792,-0.0573,0.09087,0.25764,,7,45502.9,219.8,-109.06228,-1.22868,-0.21867,-0.01878,,,7,45502.9,219.8,-103.90204,-1.22868,-0.21867,-0.01878
,8,45722.2,218.7,0.024397858,0.17567,-0.35654,0.21475,0.04934,,,8,45722.2,218.7,0.005968385,0.00187,0.02549,-0.01536,0.0313,,8,45722.2,218.7,114.16202,-0.64095,-0.11648,0.78309,,,8,45722.2,218.7,-22.53811,-0.64095,-0.11648,0.78309
,9,45944.6,217.7,0.202654528,1.4521,0.15176,-1.04487,-0.5808,,,9,45944.6,217.7,0.02600849,0.00817,-0.01611,0.01229,0.08807,,9,45944.6,217.7,377.94999,-0.60356,-0.8936,0.06959,,,9,45944.6,217.7,-10.96061,-0.60356,-0.8936,0.06959
,10,46222.8,216.3,0.439637384,3.13122,0.6587,-1.28844,1.01846,,,10,46222.8,216.3,0.043223321,0.01365,-0.0669,0.08979,-0.0334,,10,46222.8,216.3,-130.85523,-0.73637,-0.05366,0.13585,,,10,46222.8,216.3,-89.33764,-0.73637,-0.05366,0.13585
