,State,Energy(cm-1),Wavelength(nm),fosc(ELEC),T2(au^2),TX(au),TY(au),TZ(au),,State,Energy(cm-1),Wavelength(nm),fosc(VELO),T2(au^2),TX(au),TY(au),TZ(au),,State,Energy(cm-1),Wavelength(nm),R(ELEC),MX(au),MY(au),MZ(au),,State,Energy(cm-1),Wavelength(nm),R(VELO),MX(au),MY(au),MZ(au)
,1,40049.5,249.7,0.009482346,0.07795,0.08842,0.2427,-0.10594,,1,40049.5,249.7,0.000127573,0.00003,-0.00225,-0.00512,0.00192,,1,40049.5,249.7,14.154,-0.04642,0.11358,-0.06192,,1,40049.5,249.7,1.53949,-0.04642,0.11358,-0.06192
,2,40170.8,248.9,0.132583362,1.08656,0.06858,0.79658,-0.66882,,2,40170.8,248.9,0.00130826,0.00036,-0.00301,-0.0164,0.009,,2,40170.8,248.9,258.15692,-0.22036,0.31746,-0.46322,,2,40170.8,248.9,22.44377,-0.22036,0.31746,-0.46322
,3,40178,248.9,0.155628151,1.27519,-0.87108,-0.2243,-0.68272,,3,40178,248.9,0.001522136,0.00042,0.01808,-0.00057,0.00952,,3,40178,248.9,263.05361,-0.6053,-0.29019,0.05037,,3,40178,248.9,26.53063,-0.6053,-0.29019,0.05037
,4,40423.7,247.4,0.011329114,0.09226,-0.18306,-0.2207,-0.10021,,4,40423.7,247.4,0.010426762,0.00288,-0.02754,0.03263,0.03252,,4,40423.7,247.4,71.37416,1.2404,-1.16672,-1.20715,,4,40423.7,247.4,285.37071,1.2404,-1.16672,-1.20715
,5,40499.7,246.9,0.002362091,0.0192,0.12479,0.01783,-0.05753,,5,40499.7,246.9,0.003633615,0.00101,-0.0196,0.01597,0.01915,,5,40499.7,246.9,56.26848,0.7042,-0.70144,-0.76442,,5,40499.7,246.9,101.2758,0.7042,-0.70144,-0.76442
,6,40745.5,245.4,0.47398284,3.82965,1.46906,1.21814,0.43319,,6,40745.5,245.4,0.003371803,0.00094,-0.02568,-0.01385,-0.00936,,6,40745.5,245.4,-230.13002,-0.05852,-0.34413,0.03935,,6,40745.5,245.4,-14.98488,-0.05852,-0.34413,0.03935
,7,40871.1,244.7,0.468668707,3.77508,-0.38801,1.12247,-1.53772,,7,40871.1,244.7,0.00351753,0.00098,0.00042,-0.01926,0.02472,,7,40871.1,244.7,-221.48805,0.33074,-0.01458,0.21142,,7,40871.1,244.7,-14.29785,0.33074,-0.01458,0.21142
,8,41670.8,240,0.009279853,0.07331,-0.13532,0.15548,0.17558,,8,41670.8,240,0.000724342,0.00021,-0.00938,0.00893,0.00621,,8,41670.8,240,-41.00853,0.19665,-0.19787,-0.16863,,8,41670.8,240,11.56815,0.19665,-0.19787,-0.16863
,9,44631.1,224.1,0.113658945,0.83838,0.02246,0.75746,-0.51394,,9,44631.1,224.1,0.020050389,0.00612,-0.00344,-0.04913,0.06075,,9,44631.1,224.1,-37.20371,-0.48973,0.64747,1.0864,,9,44631.1,224.1,-83.16619,-0.48973,0.64747,1.0864
,10,44864.4,222.9,0.104683395,0.76816,0.21365,-0.41641,0.74102,,10,44864.4,222.9,0.020401523,0.00626,-0.03942,0.04138,-0.05467,,10,44864.4,222.9,-82.98579,-1.4063,0.92079,0.68536,,10,44864.4,222.9,-129.33168,-1.4063,0.92079,0.68536
,11,44900.3,222.7,0.094947267,0.69616,0.62078,0.53206,0.16645,,11,44900.3,222.7,0.017727791,0.00544,-0.05819,-0.04531,-0.00038,,11,44900.3,222.7,-94.43594,-0.44078,-0.04636,0.58865,,11,44900.3,222.7,-63.43418,-0.44078,-0.04636,0.58865
,12,45015.3,222.1,0.131040092,0.95834,-0.78067,-0.49559,-0.32138,,12,45015.3,222.1,0.027364377,0.00842,0.06136,0.06029,0.03191,,12,45015.3,222.1,-176.14318,-0.42099,1.044,0.57524,,12,45015.3,222.1,-127.49591,-0.42099,1.044,0.57524
,13,45654.2,219,0.083359596,0.6011,0.10519,-0.58672,0.49579,,13,45654.2,219,0.013846168,0.00432,-0.00595,0.0532,-0.03814,,13,45654.2,219,33.44754,-0.43069,0.45609,0.77422,,13,45654.2,219,6.12178,-0.43069,0.45609,0.77422
,14,45850,218.1,0.09679794,0.69503,-0.05869,-0.45746,0.69449,,14,45850,218.1,0.019863879,0.00622,0.01738,0.03533,-0.06837,,14,45850,218.1,-97.45266,1.31961,-1.04738,-0.87604,,14,45850,218.1,-103.41356,1.31961,-1.04738,-0.87604
,15,45942.3,217.7,0.046497556,0.33319,-0.4453,-0.20178,-0.30689,,15,45942.3,217.7,0.010626292,0.00334,0.04193,0.01782,0.03551,,15,45942.3,217.7,2.205,-0.16461,-0.02495,0.24001,,15,45942.3,217.7,-2.65148,-0.16461,-0.02495,0.24001
,16,45992.4,217.4,0.005730313,0.04102,0.17302,-0.08,-0.06842,,16,45992.4,217.4,0.004334155,0.00136,-0.02577,0.02217,0.01438,,16,45992.4,217.4,-199.34737,-1.35996,1.2914,1.23102,,16,45992.4,217.4,-183.08192,-1.35996,1.2914,1.23102
