,State,Energy(cm-1),Wavelength(nm),fosc(ELEC),T2(au^2),TX(au),TY(au),TZ(au) ,,,State,Energy(cm-1),Wavelength(nm),fosc(VELO),T2(au^2),TX(au),TY(au),TZ(au) ,,State,Energy(cm-1),Wavelength(nm),R(ELEC),MX(au),MY(au) ,MZ(au),,,State,Energy(cm-1),Wavelength(nm),R(VELO),MX(au),MY(au) ,MZ(au)
,1,41441.2,241.3,0.230938582,1.83459,0.4875,-0.4171,-1.19288,,,1,41441.2,241.3,0.033117932,0.00938,-0.01085,0.06795,0.06816,,1,41441.2,241.3,180.05477,-0.59161,-0.21994,-0.48504,,,1,41441.2,241.3,103.83585,-0.59161,-0.21994,-0.48504
,2,41859.5,238.9,0.10742583,0.84487,-0.47161,0.75817,0.21825,,,2,41859.5,238.9,0.012980416,0.00371,0.02138,-0.0287,-0.04933,,2,41859.5,238.9,112.71361,0.47839,0.57166,0.14329,,,2,41859.5,238.9,32.74414,0.47839,0.57166,0.14329
,3,42073.4,237.7,0.192312106,1.50479,0.44348,-0.92675,-0.67025,,,3,42073.4,237.7,0.008864842,0.00255,0.01314,0.00478,0.04851,,3,42073.4,237.7,-113.04745,-0.03449,0.15731,0.11742,,,3,42073.4,237.7,-14.74273,-0.03449,0.15731,0.11742
,4,42427.8,235.7,0.106680966,0.82777,0.10175,0.48698,-0.76176,,,4,42427.8,235.7,0.017883198,0.00519,-0.00286,0.05942,-0.04058,,4,42427.8,235.7,-155.92675,0.1387,-0.27968,0.27391,,,4,42427.8,235.7,68.60555,0.1387,-0.27968,0.27391
,5,44242.7,226,0.008305496,0.0618,-0.04856,-0.23805,0.0527,,,5,44242.7,226,0.004429341,0.00134,-0.00003,-0.00655,0.03601,,5,44242.7,226,51.02124,0.12935,-0.38914,0.41501,,,5,44242.7,226,-40.89629,0.12935,-0.38914,0.41501
,6,44646.8,224,0.180405196,1.33025,0.25952,-0.72046,-0.86246,,,6,44646.8,224,0.060995711,0.01861,-0.03901,0.09923,0.08511,,6,44646.8,224,-5.48248,-0.2758,0.23508,-0.26588,,,6,44646.8,224,-26.55407,-0.2758,0.23508,-0.26588
,7,45791.3,218.4,0.388578971,2.79365,0.90601,0.07451,-1.40259,,,7,45791.3,218.4,0.120027487,0.03756,-0.1116,0.03658,0.15418,,7,45791.3,218.4,-548.591,-1.28897,-0.38411,-0.02339,,,7,45791.3,218.4,-285.14453,-1.28897,-0.38411,-0.02339
,8,46235.4,216.3,0.696050068,4.95611,0.54882,-1.86581,1.08335,,,8,46235.4,216.3,0.081283708,0.02569,-0.06249,0.14135,-0.04244,,8,46235.4,216.3,-39.81881,-0.65512,-0.11994,0.04735,,,8,46235.4,216.3,-49.18066,-0.65512,-0.11994,0.04735
,9,46471.7,215.2,0.4855944,3.44002,-0.74231,1.52926,0.74187,,,9,46471.7,215.2,0.069797032,0.02217,0.06304,-0.10282,-0.08731,,9,46471.7,215.2,409.10919,-0.43973,0.42327,-0.14279,,,9,46471.7,215.2,130.86116,-0.43973,0.42327,-0.14279
,10,46866.4,213.4,0.313923049,2.20514,-0.35075,0.15815,1.43426,,,10,46866.4,213.4,0.047982371,0.01537,0.04411,-0.05126,-0.1039,,10,46866.4,213.4,310.91142,0.0671,-0.4202,0.52255,,,10,46866.4,213.4,65.77607,0.0671,-0.4202,0.52255
,11,47375.7,211.1,0.000648974,0.00451,0.03873,0.05408,-0.00927,,,11,47375.7,211.1,0.001826747,0.00059,0.02348,0.00458,0.00439,,11,47375.7,211.1,-5.32468,0.01539,-0.1723,0.27761,,,11,47375.7,211.1,-1.72633,0.01539,-0.1723,0.27761
,12,47392.7,211,0.000640979,0.00445,0.06327,-0.02091,0.00347,,,12,47392.7,211,0.000996849,0.00032,0.01512,0.00462,0.00854,,12,47392.7,211,-5.40919,-0.06445,0.32406,-0.17872,,,12,47392.7,211,2.18978,-0.06445,0.32406,-0.17872
,13,48179.5,207.6,0.000370119,0.00253,0.04748,0.01235,-0.01105,,,13,48179.5,207.6,0.001845826,0.00061,0.02142,0.01199,0.00222,,13,48179.5,207.6,5.29663,0.14016,-0.01526,-0.43147,,,13,48179.5,207.6,-4.00047,0.14016,-0.01526,-0.43147
,14,48214.6,207.4,0.001062277,0.00725,-0.0643,0.05297,0.01771,,,14,48214.6,207.4,0.002670497,0.00088,-0.02064,-0.0066,-0.02026,,14,48214.6,207.4,15.30715,-0.16035,0.35469,0.19039,,,14,48214.6,207.4,6.19276,-0.16035,0.35469,0.19039
