,State,Energy(cm-1),Wavelength(nm),fosc(ELEC),T2(au^2),TX(au),TY(au),TZ(au),,State,Energy(cm-1),Wavelength(nm),fosc(VELO),T2(au^2),TX(au),TY(au),TZ(au),,State,Energy(cm-1),Wavelength(nm),R(ELEC),MX(au),MY(au),MZ(au),,State,Energy(cm-1),Wavelength(nm),R(VELO),MX(au),MY(au),MZ(au)
,1,41527.6,240.8,0.123229255,0.97691,0.05224,0.47059,0.86759,,1,41527.6,240.8,0.011436742,0.00325,-0.02336,-0.03748,-0.03599,,1,41527.6,240.8,140.18643,0.89876,0.21893,0.16986,,1,41527.6,240.8,87.997,0.89876,0.21893,0.16986
,2,41791.2,239.3,0.020163581,0.15884,-0.20079,0.34173,0.04174,,2,41791.2,239.3,0.007719338,0.0022,0.00058,-0.0108,-0.04569,,2,41791.2,239.3,19.37376,0.80369,0.59496,-0.02026,,2,41791.2,239.3,12.46686,0.80369,0.59496,-0.02026
,3,42110.4,237.5,0.259377933,2.02777,-0.13422,1.19328,0.7654,,3,42110.4,237.5,0.009051788,0.00261,-0.03653,-0.01455,-0.03255,,3,42110.4,237.5,-28.47573,0.13477,0.06203,-0.15198,,3,42110.4,237.5,2.15699,0.13477,0.06203,-0.15198
,4,42415.8,235.8,0.48484487,3.76314,0.31169,-1.12264,1.55102,,4,42415.8,235.8,0.01600751,0.00464,-0.03381,0.00428,-0.05898,,4,42415.8,235.8,-104.97322,0.7544,0.29663,-0.08046,,4,42415.8,235.8,47.54963,0.7544,0.29663,-0.08046
,5,42572.9,234.9,0.005935174,0.0459,0.14319,0.1506,0.05206,,5,42572.9,234.9,0.055592065,0.01618,0.0402,-0.10859,0.05262,,5,42572.9,234.9,-37.49865,-0.52616,0.00821,-0.10434,,5,42572.9,234.9,66.91169,-0.52616,0.00821,-0.10434
,6,44346.8,225.5,0.046310508,0.34379,-0.07868,-0.38029,-0.43929,,6,44346.8,225.5,0.01709797,0.00518,0.00651,0.04794,0.05331,,6,44346.8,225.5,5.95083,-0.39761,0.26906,-0.19044,,6,44346.8,225.5,-0.37614,-0.39761,0.26906,-0.19044
,7,45125.9,221.6,0.106617689,0.77782,-0.04342,-0.65373,-0.5904,,7,45125.9,221.6,0.031821432,0.00981,0.01448,0.04886,0.08495,,7,45125.9,221.6,86.44718,-0.03604,-0.49601,0.24129,,7,45125.9,221.6,9.7643,-0.03604,-0.49601,0.24129
,8,45803.8,218.3,0.45532153,3.2726,0.35756,-0.20388,1.76158,,8,45803.8,218.3,0.152121656,0.04762,-0.03838,-0.00027,-0.21482,,8,45803.8,218.3,-201.28649,1.94104,0.50374,-0.57805,,8,45803.8,218.3,-111.92159,1.94104,0.50374,-0.57805
,9,46240.6,216.3,0.88709586,6.31571,0.73155,-2.39466,-0.21488,,9,46240.6,216.3,0.166752658,0.0527,-0.04977,0.21571,0.06074,,9,46240.6,216.3,-388.98166,-0.71374,0.12029,0.06931,,9,46240.6,216.3,-146.97053,-0.71374,0.12029,0.06931
,10,46401,215.5,0.271228554,1.92435,0.13353,-0.46309,1.30079,,10,46401,215.5,0.020519387,0.00651,0.00622,-0.01184,-0.07955,,10,46401,215.5,496.05935,-0.20342,-0.86246,0.52273,,10,46401,215.5,72.77815,-0.20342,-0.86246,0.52273
,11,46449.7,215.3,0.286196704,2.02842,-0.27308,-0.39824,-1.33987,,11,46449.7,215.3,0.039665079,0.01259,0.01715,0.02795,0.10732,,11,46449.7,215.3,242.03787,0.11627,-0.49499,-0.25974,,11,46449.7,215.3,88.47539,0.11627,-0.49499,-0.25974
,12,46562.3,214.8,0.572978484,4.05116,-1.00341,0.9029,1.49301,,12,46562.3,214.8,0.092805993,0.02953,0.07276,-0.09474,-0.12355,,12,46562.3,214.8,35.53806,-0.83825,-0.5482,-0.18135,,12,46562.3,214.8,-29.66818,-0.83825,-0.5482,-0.18135
,13,47291.6,211.5,0.000711926,0.00496,0.02663,0.06287,-0.01716,,13,47291.6,211.5,0.001912599,0.00062,0.02341,0.00303,-0.0078,,13,47291.6,211.5,-5.37447,0.12676,-0.15624,0.28863,,13,47291.6,211.5,-0.53215,0.12676,-0.15624,0.28863
,14,47399.4,211,0.000678264,0.00471,-0.05595,0.00854,-0.03883,,14,47399.4,211,0.001646998,0.00053,-0.02086,-0.00581,0.00805,,14,47399.4,211,-5.33016,0.09445,-0.38097,0.07132,,14,47399.4,211,-1.78716,0.09445,-0.38097,0.07132
,15,47958.9,208.5,0.001204783,0.00827,0.05451,-0.02811,-0.06714,,15,47958.9,208.5,0.001994725,0.00065,0.02325,0.00603,0.00876,,15,47958.9,208.5,12.00848,0.07097,-0.35774,-0.17195,,15,47958.9,208.5,4.34362,0.07097,-0.35774,-0.17195
,16,48064.6,208.1,0.000671471,0.0046,-0.04529,0.01795,-0.04718,,16,48064.6,208.1,0.002028881,0.00067,-0.01669,-0.0193,-0.00391,,16,48064.6,208.1,-6.8545,-0.1357,-0.18279,0.36894,,16,48064.6,208.1,-9.36939,-0.1357,-0.18279,0.36894
,17,48176.8,207.6,0.000471543,0.00322,-0.04955,0.007,0.0268,,17,48176.8,207.6,0.00158034,0.00052,-0.0205,-0.00897,0.00445,,17,48176.8,207.6,3.35827,0.0832,-0.04472,0.43122,,17,48176.8,207.6,-1.31616,0.0832,-0.04472,0.43122
,18,48652.2,205.5,0.020138955,0.13627,-0.11282,0.16898,0.30821,,18,48652.2,205.5,0.003964636,0.00132,0.01175,-0.00429,-0.03408,,18,48652.2,205.5,-11.24322,0.11252,0.00776,-0.04044,,18,48652.2,205.5,-5.67354,0.11252,0.00776,-0.04044
,19,49917.1,200.3,0.010342019,0.06821,-0.01952,0.05217,-0.25516,,19,49917.1,200.3,0.000820834,0.00028,-0.00158,-0.00302,0.01638,,19,49917.1,200.3,-2.01972,0.01423,-0.08275,-0.00122,,19,49917.1,200.3,-0.43055,0.01423,-0.08275,-0.00122
,20,49956.8,200.2,0.003716257,0.02449,-0.04294,0.11048,0.10217,,20,49956.8,200.2,0.001192068,0.00041,0.00497,-0.01473,-0.01286,,20,49956.8,200.2,-6.07637,0.12326,0.01049,-0.08569,,20,49956.8,200.2,-3.23055,0.12326,0.01049,-0.08569
,21,50307,198.8,0.003750676,0.02454,-0.09398,0.05614,0.11208,,21,50307,198.8,0.000634444,0.00022,0.01002,-0.00974,-0.00479,,21,50307,198.8,4.58407,-0.09128,-0.07504,0.0478,,21,50307,198.8,0.84869,-0.09128,-0.07504,0.0478
,22,50381.6,198.5,0.003997168,0.02612,0.15844,-0.02865,0.01397,,22,50381.6,198.5,0.001472556,0.00051,-0.01912,-0.00509,-0.01075,,22,50381.6,198.5,4.95645,0.05432,-0.05198,0.02988,,22,50381.6,198.5,2.24912,0.05432,-0.05198,0.02988
,23,50493.4,198,0.006376416,0.04157,-0.05508,0.19,-0.04941,,23,50493.4,198,0.000497726,0.00017,0.00258,-0.0116,0.00553,,23,50493.4,198,2.92855,-0.06143,0.02281,0.03047,,23,50493.4,198,0.52164,-0.06143,0.02281,0.03047
,24,51454.6,194.3,0.006345491,0.0406,0.07817,0.17609,-0.059,,24,51454.6,194.3,0.002153699,0.00076,-0.01171,-0.02487,-0.00122,,24,51454.6,194.3,2.62466,-0.06349,0.05199,-0.02331,,24,51454.6,194.3,1.04747,-0.06349,0.05199,-0.02331
,25,51902,192.7,0.000084252,0.00053,0.02248,-0.00535,-0.00064,,25,51902,192.7,0.000309156,0.00011,-0.00936,-0.00313,0.00349,,25,51902,192.7,1.47116,0.10416,-0.15194,0.05368,,25,51902,192.7,0.62382,0.10416,-0.15194,0.05368
,26,52092.7,192,0.000104391,0.00066,0.00183,-0.02429,-0.00814,,26,52092.7,192,0.000546321,0.00019,0.01303,0.00454,0.00201,,26,52092.7,192,-0.23487,-0.05495,-0.04207,0.17434,,26,52092.7,192,1.10454,-0.05495,-0.04207,0.17434
,27,52570.4,190.2,0.004969847,0.03112,0.09698,-0.13759,-0.05278,,27,52570.4,190.2,0.000753342,0.00027,-0.00777,0.01426,0.00262,,27,52570.4,190.2,-3.60208,0.04123,0.09162,-0.01832,,27,52570.4,190.2,-1.84743,0.04123,0.09162,-0.01832
,28,52631,190,0.000628911,0.00393,0.02927,-0.03464,-0.04333,,28,52631,190,0.000154087,0.00006,-0.00129,0.00719,0.00143,,28,52631,190,-1.26369,-0.0057,0.10327,-0.02454,,28,52631,190,-1.40583,-0.0057,0.10327,-0.02454
,29,52768.5,189.5,0.005149486,0.03213,0.13665,0.10819,0.04181,,29,52768.5,189.5,0.000853236,0.00031,0.00898,-0.00211,-0.01492,,29,52768.5,189.5,24.92171,0.0222,0.26703,0.50078,,29,52768.5,189.5,15.36779,0.0222,0.26703,0.50078
,30,52822.4,189.3,0.002139093,0.01333,-0.09567,-0.01861,0.06191,,30,52822.4,189.3,0.000614455,0.00022,-0.00151,0.00078,-0.0148,,30,52822.4,189.3,-7.2228,0.10454,-0.19524,-0.14461,,30,52822.4,189.3,-3.58506,0.10454,-0.19524,-0.14461
,31,52863.9,189.2,0.007203965,0.04486,0.06766,-0.13267,-0.15062,,31,52863.9,189.2,0.003813608,0.00138,-0.01243,0.01936,0.02913,,31,52863.9,189.2,0.92981,-0.15119,-0.1861,0.08291,,31,52863.9,189.2,-1.35275,-0.15119,-0.1861,0.08291
,32,52925.1,188.9,0.001862507,0.01159,0.09549,-0.0174,-0.04653,,32,52925.1,188.9,0.000360278,0.00013,-0.00977,0.00472,0.00356,,32,52925.1,188.9,3.72611,0.07157,-0.0202,-0.01543,,32,52925.1,188.9,1.66037,0.07157,-0.0202,-0.01543
,33,53062.7,188.5,0.00391711,0.0243,-0.15219,-0.03347,-0.00448,,33,53062.7,188.5,0.000689395,0.00025,-0.01143,-0.00646,0.00881,,33,53062.7,188.5,-4.59739,0.13964,-0.36727,0.1772,,33,53062.7,188.5,-4.5597,0.13964,-0.36727,0.1772
,34,53328.1,187.5,0.00058684,0.00362,0.05962,0.00812,-0.00163,,34,53328.1,187.5,0.00045488,0.00017,0.00972,-0.00074,-0.00841,,34,53328.1,187.5,0.82323,0.06297,-0.18493,0.31031,,34,53328.1,187.5,3.60706,0.06297,-0.18493,0.31031
,35,53348.6,187.4,0.003555296,0.02194,-0.11248,-0.08483,-0.04572,,35,53348.6,187.4,0.001948166,0.00071,-0.02568,-0.0014,-0.00701,,35,53348.6,187.4,-3.79458,-0.20696,0.31814,0.09491,,35,53348.6,187.4,-8.15435,-0.20696,0.31814,0.09491
,36,53499.2,186.9,0.001398928,0.00861,0.03659,0.06782,0.05167,,36,53499.2,186.9,0.001148931,0.00042,-0.01283,-0.01426,-0.00722,,36,53499.2,186.9,2.77797,-0.17041,-0.04162,0.28936,,36,53499.2,186.9,-1.33596,-0.17041,-0.04162,0.28936
,37,53697.4,186.2,0.006239784,0.03826,0.07021,-0.06178,0.17178,,37,53697.4,186.2,0.001607973,0.00059,-0.01321,0.01137,-0.01692,,37,53697.4,186.2,13.10484,-0.11446,0.0085,0.21166,,37,53697.4,186.2,3.80079,-0.11446,0.0085,0.21166
