,State,Energy(cm-1),Wavelength(nm),fosc(ELEC),T2(au^2),TX(au),TY(au),TZ(au),,State,Energy(cm-1),Wavelength(nm),fosc(VELO),T2(au^2),TX(au),TY(au),TZ(au),,State,Energy(cm-1),Wavelength(nm),R(ELEC),MX(au),MY(au),MZ(au),,State,Energy(cm-1),Wavelength(nm),R(VELO),MX(au),MY(au),MZ(au)
,1,39938,250.4,0.037789355,0.3115,0.29716,-0.27074,-0.38716,,1,39938,250.4,0.000923868,0.00025,-0.01577,0.00088,0.00163,,1,39938,250.4,13.83551,-0.15138,0.33738,-0.42792,,1,39938,250.4,-5.14347,-0.15138,0.33738,-0.42792
,2,40395.3,247.6,0.005256191,0.04284,-0.03681,0.18939,-0.07493,,2,40395.3,247.6,0.007747699,0.00214,0.02176,0.0337,0.02301,,2,40395.3,247.6,15.9679,0.09346,0.07727,-0.30263,,2,40395.3,247.6,5.96061,0.09346,0.07727,-0.30263
,3,41387.6,241.6,0.036353163,0.28917,0.18973,-0.15794,-0.47773,,3,41387.6,241.6,0.010894497,0.00308,0.02381,0.03415,0.03672,,3,41387.6,241.6,98.2505,-0.12844,0.16305,-0.54115,,3,41387.6,241.6,43.40351,-0.12844,0.16305,-0.54115
,4,41579.9,240.5,0.225647816,1.78659,1.13427,-0.53432,-0.46316,,4,41579.9,240.5,0.009427067,0.00268,0.02969,0.03923,0.01609,,4,41579.9,240.5,-129.92974,-0.02254,0.26516,0.23394,,4,41579.9,240.5,-33.58634,-0.02254,0.26516,0.23394
,5,41868.5,238.8,0.043720886,0.34378,-0.50876,0.27194,0.10481,,5,41868.5,238.8,0.006786422,0.00194,0.04072,0.00745,-0.0151,,5,41868.5,238.8,118.67725,-0.3651,0.12981,0.2927,,5,41868.5,238.8,45.27374,-0.3651,0.12981,0.2927
,6,41987.9,238.2,0.105822868,0.82972,0.67364,0.53546,0.29867,,6,41987.9,238.2,0.010790462,0.0031,0.03551,0.03346,-0.02675,,6,41987.9,238.2,-155.60515,-0.10506,-0.60364,0.21409,,6,41987.9,238.2,73.08748,-0.10506,-0.60364,0.21409
,7,42227.5,236.8,0.239033606,1.86354,-0.31739,-1.31459,0.18615,,7,42227.5,236.8,0.023789224,0.00687,-0.01534,-0.07252,-0.03703,,7,42227.5,236.8,-54.80121,0.33733,0.12699,0.84752,,7,42227.5,236.8,112.13808,0.33733,0.12699,0.84752
,8,42807.4,233.6,0.035929018,0.27631,-0.5009,-0.09114,-0.13078,,8,42807.4,233.6,0.031475659,0.00921,0.01798,-0.08863,-0.03209,,8,42807.4,233.6,-51.13482,0.14972,0.29408,0.05097,,8,42807.4,233.6,60.44903,0.14972,0.29408,0.05097
,9,43008.6,232.5,0.198163599,1.51686,-1.05387,0.14645,0.6203,,9,43008.6,232.5,0.026111089,0.00768,0.04447,0.04232,-0.0625,,9,43008.6,232.5,-57.50142,0.06115,0.47701,-0.20536,,9,43008.6,232.5,-85.98447,0.06115,0.47701,-0.20536
,10,43455.8,230.1,0.005388418,0.04082,0.1082,-0.09784,-0.13979,,10,43455.8,230.1,0.003415532,0.00101,-0.00434,-0.01787,0.026,,10,43455.8,230.1,25.75195,0.01854,-0.08074,-0.31988,,10,43455.8,230.1,16.55926,0.01854,-0.08074,-0.31988
